registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,82,2220,0.0797,0.0549,0.0798,0.0539
4,81,2710,0.3097,0.0774,0.3103,0.0777
5,80,2965,0.5489,0.3169,0.5495,0.2740
6,79,3703,0.7003,0.3827,0.7012,0.3096
