image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
IMG_5632.JPG,IMG_5637.JPG,4000,4000,4000,2000,1871,0.9355,6.322570439268441,0.20981167620127938,0.24768451020078255,0.19683417249362328,0.9779801731613764,"[[5.33532158756601e-07, -3.697822177271718e-06, 0.015856153894415168], [3.6743373339318963e-06, 4.512592535750633e-08, -0.004146803429270637], [-0.016494051254092076, 0.0037621408338862723, 1.0]]"
IMG_5585.JPG,IMG_5589.JPG,4000,4000,4000,1850,1722,0.9308108108108109,2.3127690307720146,0.22494237997829192,0.26493412437339403,0.19840899707352044,0.9778175510854948,"[[3.2964312305711704e-08, -7.392349639711185e-07, 0.005658193506822303], [2.4262953508601456e-07, 9.261258187913797e-07, -0.05017885998470938], [-0.004662364676927076, 0.0489944265377724, 1.0]]"
IMG_5620.JPG,IMG_5626.JPG,4000,4000,4000,1779,1667,0.9370432827431141,3.2505007757382454,0.18122921858841753,0.23924368859742784,0.1675662893131532,0.9885390654787987,"[[8.262269109248708e-08, 2.255713948037125e-06, -0.0022360142357655275], [-9.755615865965247e-07, 2.574234570228294e-07, -0.013615437544377159], [0.00141569695667078, 0.0122320223780001, 1.0]]"
