image_id,total_3d_points_observed,triplet_shared_points
69,3372,3372
70,3338,3338
71,3088,3088
72,2791,2791
73,2685,2685
74,2188,2188
68,2897,2897
67,3049,3049
66,2872,2872
65,2996,2996
64,2956,2956
63,2967,2967
62,2541,2541
61,2574,2574
60,2911,2911
59,2360,2360
58,1984,1984
57,1529,1529
56,1663,1663
54,572,572
55,396,396
