image_id,total_3d_points_observed,triplet_shared_points
1,1850,1850
2,1988,1988
18,367,367
17,657,657
16,876,876
15,1076,1076
14,929,929
13,801,801
12,656,656
11,1454,1454
10,1348,1348
9,707,707
8,572,572
7,936,936
6,962,962
5,667,667
4,407,407
3,612,612
0,818,818
