image_id,total_3d_points_observed,triplet_shared_points
1,1856,1856
2,1997,1997
18,366,366
17,656,656
16,852,852
15,604,604
14,519,519
13,509,509
12,434,434
11,396,396
10,600,600
9,531,531
8,527,527
7,597,597
6,404,404
5,437,437
4,477,477
3,516,516
0,813,813
